price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,house_age,was_renovated,years_since_renovation,city_encoded
313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,59,1,9,0.02673913043478261
342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,48,0,48,0.04021739130434782
420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,51,0,51,0.06217391304347826
550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,38,1,22,0.051086956521739134
490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,76,1,20,0.34195652173913044
335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,38,0,38,0.051086956521739134
482000.0,4.0,2.5,2710,35868,2.0,0,0,3,2710,0,25,0,25,0.020869565217391306
452500.0,3.0,2.5,2430,88426,1.0,0,0,4,1570,860,29,0,29,0.010869565217391304
640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,69,1,4,0.34195652173913044
463000.0,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,66,1,20,0.00782608695652174
588500.0,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,34,0,34,0.03804347826086957
365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,59,1,5,0.34195652173913044
242500.0,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,49,0,49,0.04021739130434782
419000.0,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,58,0,58,0.06217391304347826
367500.0,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,17,0,17,0.03826086956521739
257950.0,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,27,1,14,0.012608695652173913
275000.0,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,31,1,5,0.010869565217391304
750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,91,0,91,0.34195652173913044
435000.0,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,60,1,35,0.06217391304347826
626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,9,0,9,0.34195652173913044
612500.0,4.0,2.5,2730,12261,2.0,0,0,3,2730,0,23,0,23,0.007173913043478261
495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,55,1,25,0.34195652173913044
285000.0,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,27,0,27,0.03217391304347826
615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,66,0,66,0.34195652173913044
698000.0,4.0,2.25,2200,11250,1.5,0,0,5,1300,900,94,0,94,0.04065217391304348
675000.0,5.0,2.5,2820,67518,2.0,0,0,3,2820,0,35,1,0,0.04065217391304348
790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,63,1,15,0.34195652173913044
382500.0,4.0,1.75,1560,8700,1.0,0,0,4,1560,0,47,0,47,0.04065217391304348
499950.0,4.0,2.5,2860,3345,2.0,0,0,3,2190,670,10,1,11,0.025
